StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
MAHARASHTRA,NASIK,SINNAR,NA,HORTICULTURE,Vegetables,Onion,	Plant Protection	,FARMER ASKED ABOUT CONTROL OF SUCKING PEST ATTACK AND CATERPILLAR ATTACK ON ONION CROP?,"कांदा पिकावरील अळी नियंत्रण - इमामेक्टिन बेंझोट ५ % एसजी - ७ ग्रॅम/ १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. त्यानंतर सहा दिवसांनी रस शोषक कीड नियंत्रणासाठी इमिडाक्लोप्रिड १७.८ % एस एल - ७ मिलि/ १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद!
",2023-02-03T14:59:38.423,2023,2
UTTAR PRADESH,SIDDHARTH NAGAR,MITHWAL,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"महोदय, 3 फरवरी से 9 फरवरी के बीच बूंदाबांदी होने की संभावना  है, आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 12°C और अधिकतम तापमान 22°C  एवं हवा की गति 4-7 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य को करे l  
",2023-02-03T14:59:48.64,2023,2
UTTAR PRADESH,SHAHJAHANPUR,NIGOHI,NA,AGRICULTURE,Others,Others,Government Schemes,Information about Pradhan Mantri Kisan Samman Nidhi Yojana? ,महोदय जी अधिक जानकारी के लिए अपने बैंक से संपर्क करें,2023-02-03T15:00:09.45,2023,2
MADHYA PRADESH,DAMOH,JABERA,NA,HORTICULTURE,Vegetables,Cucumber,	Plant Protection	,"farmer want to know information control of powdery mildew in cucumber crop? 
","आपकी खीरा की फसल में पाउडरी मिलदेव फफूंदी रोग के नियंत्रण के लिए वेटेबल सल्फर की 80% डब्ल्यूजी 30 ग्राम प्रति 15 लीटर पानी में मिलाकर छिड़काव करे 
",2023-02-03T15:00:14.053,2023,2
BIHAR,BHOJPUR,JAGDISHPUR,NA,HORTICULTURE,Fruits,Lemon,Cultural Practices,Query about irrigation in Lemon ,"किसान भाई, नींबू के पौधे में पानी की आवश्यकता पड़ने पर आवश्यकतानुसार सिंचाई करें",2023-02-03T15:00:44.987,2023,2
ASSAM,DIBRUGARH,KHOWANG,NA,HORTICULTURE,Vegetables,Chillies,Fertilizer Use and Availability,ASKING ABOUT THE APPLICATION OF FERTILIZER DOSE.,"APPLY UREA @25GM, SSP@30GM, AND MOP@10 GM PER PIT.
PIT SIZE: 45CM X 45CM X45CM.",2023-02-03T15:02:05.077,2023,2
CHHATTISGARH,Mungeli,MUNGELI,NA,HORTICULTURE,Condiments and Spices,Coriander,	Plant Protection	,Farmer needs information regarding control of  Aphid insect attack in Coriander  crop ?,"किसान भाई,  धनिया  के फसल में  मैनी कीट के नियंत्रण के लिए थियामेथोक्साम 25% डब्ल्यूजी @ 50 से 60  ग्राम की मात्रा प्रति एकड़ की दर से १५०-२०० लीटर पानी में घोलकर छिड़काव करे, और 2 स्प्रेयर  खेतो की मेड़ो में भी करे.|",2023-02-03T15:02:09.273,2023,2
WEST BENGAL,BARDDHAMAN,KATWA-I,NA,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT STATUS OF KRISHAK BANDHU SCHEME,"যান্ত্রিক ত্রুটির বা সার্ভারে সমস্যা এর জন্য আপনার কৃষক বন্ধু এর স্টেটাস এখন এই মুহূর্তে দেখা যাচ্ছে না,আপনি কিছুক্ষন পর আর একবার কল করুন।",2023-02-03T15:02:12.393,2023,2
PUNJAB,FAZILKA,ABOHAR,NA,AGRICULTURE,Others,Others,Fertilizer Use and Availability,INFORMATION REGARDING K-Mag ,"ਕੇ- ਮੈਗ ਵਿੱਚ ਪੋਟਾਸ਼ੀਅਮ, ਮੈਗਨੀਸ਼ੀਅਮ ਅਤੇ ਸਲਫਰ ਤੱਤ ਹੁੰਦੇ ਹਨ ਜੀ।",2023-02-03T15:02:53.967,2023,2
TAMILNADU,PERAMBALUR,ALATHUR,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,Asked about leaf blight disease management in groundnut crop,கேள்வி : நிலக்கடலை யிரில் இலை கருகல் நோய் கட்டுப்பாடு .பதில் : சாப் ( கார்பென்டசிம் + மேன்கோசெப் ) 2 கிராம் ஒரு லிட்டர் தண்ணீரில் கலந்து தெளிக்கவும்,2023-02-03T15:05:31.103,2023,2
WEST BENGAL,BARDDHAMAN,KATWA-I,NA,AGRICULTURE,Others,Others,Government Schemes,ASKING ABOUT PRADHAN MANTRI SHRAM YOGI MAAN DHAN YOJANA ,"Entry
Age
Superannu
ation Age

Member's
monthly
contribution
(Rs)

Central
Govt's
monthly
contribution
(Rs)

Total monthly
contribution
(Rs)
(1) (2) (3) (4) (5)= (3)+(4)
18 60 55 55 110
19 60 58 58 116
20 60 61 61 122
21 60 64 64 128
22 60 68 68 136
23 60 72 72 144
24 60 76 76 152
25 60 80 80 160
26 60 85 85 170
27 60 90 90 180
28 60 95 95 190
29 60 100 100 200
30 60 105 105 210
31 60 110 110 220
32 60 120 120 240
33 60 130 130 260
34 60 140 140 280
35 60 150 150 300
36 60 160 160 320
37 60 170 170 340
38 60 180 180 360

Page 3 of 6
39 60 190 190 380
40 60 200 200 400",2023-02-03T15:05:33.63,2023,2
GUJARAT,SABARKANTHA,IDAR,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Cultural Practices,Farmer asked Varieties information of Ground nut crop ,"   ઉનાળે માત્ર ઉભડી મગફળી નું વાવેતર કરી શકાય.     ઉભડી જાત - જીજી ૨ ,૪,૬,૧૧, ૨૬,૩૧,૩૩,, ટીજી ૩૭ એ , ટીએજી ૨૪ , જીજી ૫,૭ એસ. બી. ૧૧ , ગુજરાત જુનાગઢ મગફળી-૩૪,૩૭.                                                જી જે -2 :- સુકારા રોગ અને પીળિયા રોગ સામે પ્રતિકારક ધરાવે છે. 98 દિવસ પાકવાના ,  1747 કિલો એક હેક્ટર નું ઉત્પાદન ધરાવે છે.                                                                                                                                                                                    જી જે જી 31 :-  2012 વર્ષ, વધુ ઉત્પાદન મોટા દાણા તથા અગ્રકાલિકા રોગ સામે પ્રતિકારકતા.   પાકવાના  દિવસ-  117, 3254 કિલો એક હેક્ટર નું ઉત્પાદન ધરાવે છે.                                                                                                                              ટી પી જી 41 :- મોટા દાણા, ગેરુ રોગ પ્રતિ  શાહનશીલતા ધરાવે છે.  પાકવાના  દિવસ-  122 ,       2088 કિલો એક હેક્ટર નું ઉત્પાદન ધરાવે છે                                                                                                                                                                ટી જી 37 એ :-      મોટા દાણા, ગેરુ રોગ પ્રતિ  શાહનશીલતા ધરાવે છે.  પાકવાના  દિવસ-  120 ,       2500 કિલો એક હેક્ટર નું ઉત્પાદન ધરાવે છે                                                                                                                                                            જી જે જી 9 :- ડોડવા તથા દાણા મોટા કદના, વધુ ઉત્પાદન     પાકવાના  દિવસ-  109,       1960 કિલો એક હેક્ટર નું ઉત્પાદન ધરાવે છે                                                                                                                                                                                         જી જી 34 :  ગુજરાત રાજ્યમાં ઉનાળા માં ઉભડી મગફળી ઉગાડતા ખેડૂતો માટે મગફળી ૩૪ (જીજી
૩૪) માટે ભલામણ કરવામાાં આવેછે. આ જાતમાાં ડોડવાનું સરેરાસ  ઉત્પાદન પ્રતિ હેકટરે  ૩૭૧પ કિલો ગ્રામ મળેલ છે.  . ઉનાળા માં ટિક્કા કે ગેરુ રોગ જોવા મ્નળતો નથી.                                                                                                         પ્રાઈવેટ સંસ્થાની : રોહિણી :-  પાકવાના  દિવસ-  95,  સૌથી ઓછા દિવસ માં પાકતી જાત                                                       66  નંબર :- નાનો દાણો, વહેલી પાકતી,   પાકવાના  દિવસ-  95,                                                                                                        રેનો -39:- મોટા દાણા ની જાત, 40 કિલો પ્રતિ વીઘા બિયારણ ની જરૂરિયાત,                                                                                      ",2023-02-03T15:05:38.077,2023,2
MADHYA PRADESH,WEST NIMAR,KASRAWAD,NA,AGRICULTURE,Others,Others,Government Schemes,"Farmer wants to know information about PM Kisan Samman Nidhi Yojana?
","प्रधानमंत्री किसान सम्मान निधि योजना के बारे में अधिक जानकारी के निम्न वेबसाइट http://www.pmkisan.gov.in  के माध्यम से या पीएम-`नंबर 155261/011-24300606 के माध्यम से प्राप्त करेंl अगली किस्त फरवरी-मार्च में आने की संभावना है।
",2023-02-03T15:05:49.513,2023,2
UTTAR PRADESH,KUSHI NAGAR,KASAYA,NA,AGRICULTURE,Oilseeds,Mustard,	Plant Protection	,Information about mahu insect control in Mustard crop ..?,"श्री मान जी आप सरसो की फसल में कीट नियंत्रण के लिए , मेलाथिऑन 5% DP की 8 किलो / एकर की दर से सुबह के समय राख में मिलाकर भुरकाव करें |",2023-02-03T15:07:29.553,2023,2
MAHARASHTRA,WASHIM,KARANJA,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked about contact number of krushi ayuktalay?,कृषी आयुक्तालय संपर्क क्रमांक १८००२३३४०००. धन्यवाद.,2023-02-03T15:09:04.917,2023,2
KARNATAKA,DAVANAGERE,HONNALI,NA,HORTICULTURE,Plantation Crops,Arecanut,Market Information,"Asked about Market rate of Arecanut
",CHANNAGIRI	02/02/2023	Rashi	1926	44899	46899,2023-02-03T15:09:42.153,2023,2
RAJASTHAN,ALWAR,BEHROR,NA,AGRICULTURE,Others,Others,Government Schemes,Asked  about   to  information   of   kcc   loan   ?   ,"Pradeep Kumar
District Development Manager
183, Scheme No-8, Gandhi Nagar, Alwar - 301001 Alwar,  Rajasthan.
Rajasthan.
Contact Number: 0144-2701565",2023-02-03T15:09:42.34,2023,2
PUNJAB,FEROZPUR,GHALL KHURD,NA,AGRICULTURE,Others,Others,Training and Exposure Visits,"Information regarding contact no. of PAU Ludhiana?
",ਪੰਜਾਬ ਖੇਤੀਬਾੜੀ ਯੂਨੀਵਰਸਿਟੀ ਲੁਧਿਆਣਾ ਦਾ ਨੰਬਰ 0161-2401960.,2023-02-03T15:09:50.407,2023,2
ODISHA,BHADRAK,BHADRAK,NA,HORTICULTURE,Fruits,Mango,Nutrient Management,About planofix ( Alpha naphthyl acetic acid 4.5% SL ) .,Planofix ( Alpha naphthyl acetic acid 4.5% SL )  @ 3ml per 15 litre of water  and 6 ml per 15 litre for Mango.,2023-02-03T15:10:34.647,2023,2
UTTARAKHAND,TEHRI GARWAL,CHAMBA,NA,AGRICULTURE,Others,Others,Government Schemes,When will the 12th installment come under the Prime Minister Kisan Saman Nidhi Yojana?,प्रधानमंत्री किसान सम्मान निधि योजना के तहत आपके बैंक खाते में आपका आधार कार्ड लिंक नहीं है कृपया बैंक खाते से आधार कार्ड लिंक कराएं|,2023-02-03T15:11:06.3,2023,2
KARNATAKA,GULBARGA,CHINCHOLI,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about PMFBY crop insurance claim  
","
Year  (*)	
2022-2023
Season  (*)	
Kharif
Check Status By Type	ProposalMobile NoAadhaar		
Proposal No.	
2028855
Captcha	
 Submit	

   


INSURANCE COMPANY - Universal Sompo GIC

Proposal	MobileNo.	AadhaarNo.	ProposerName.	Status.	Bank.	Branch	 
2028855	XXXXXX789	XXXXXX	VENU GOPAL KELKERI	ವಿಮಾ ಕಂಪನಿಯಿಂದ ಅರ್ಜಿ ಸ್ವೀಕೃತಿಯಾಗಿದೆ/Application Acknowledge by Insurance Co.	CSC Centers	CSC Centers	Select



Shortfall Not Generated For This Proposal/IU",2023-02-03T15:11:13.257,2023,2
MAHARASHTRA,NANDED,NANDED,NA,HORTICULTURE,Vegetables,Chillies,Nutrient Management,Farmer asked about chillies crop growth ?,मिरची पिकामध्ये जिब्रेलिक ऍसिड  0.001 फळाच्या अवस्थेमध्ये दोन मिली प्रति लिटर पाण्यामध्ये द्रावण करून फवारणी करा धन्यवाद,2023-02-03T15:11:39.81,2023,2
RAJASTHAN,BIKANER,NOKHA,NA,HORTICULTURE,Condiments and Spices,Fenugreek,	Plant Protection	,"FARMER ASKED ABOUT  ROOT ROT CONTROL IN FENUGREEK
","कार्बेन्डाजिम 250 ग्राम प्रति बीगा के हिसाब से जड़ क्षेत्र में डालें।
",2023-02-03T15:11:54.347,2023,2
MAHARASHTRA,WASHIM,MANGRULPIR,NA,HORTICULTURE,Condiments and Spices,Garlic,"Water Management, Micro Irrigation",FARMER ASKED ABOUT WATER MANAGEMENT IN GARLIC ?,"पाणी नियोजन
लसणाची मुळे जमिनीच्या १५ ते २० सें.मी. च्या थरात असतात. त्यामुळे वरच्या थरात ओलावा कायम असणे आवश्यक असते. या पिकास जुजबी परंतु नियमित पाणी लागते. लसणाच्या पाकळ्या कोरड्यात लावल्यानंतर लगेच पाणी द्यावे. आंबवणी साधारणत: ३ ते ४ दिवसांनी द्यावे. नोव्हेंबर ते डिसेंबर महिन्यात १o ते १२ दिवसांनी
लागवड करण्यापूर्वी ठिबक किंवा तुषार सिंचन चालू करून वाफ्याचा १५ ते २० सें.मी. खोलीपर्यंतचा भाग पूर्ण ओला होईपर्यंत पाणी द्यावे. त्यासाठी संच ८ ते १o तास चालवावा लागेल. ",2023-02-03T15:13:02.613,2023,2
BIHAR,AURANGABAD,GOH,NA,AGRICULTURE,Others,Others,Government Schemes,Query Related to Pradhan Mantri Kisan Samman Nidhi Yojna  ,किसान भाई प्रधान मंत्री किसान सम्मान निधि योजना की अगली क़िस्त फरवरी माह में आने की संभावना हैं।   ,2023-02-03T15:13:05.92,2023,2
KARNATAKA,GULBARGA,CHINCHOLI,NA,AGRICULTURE,Others,Others,Government Schemes,"Asked about PMFBY crop insurance claim  
","	
2022-2023
Season  (*)	
Kharif
Check Status By Type	ProposalMobile NoAadhaar		
Proposal No.	
2028855
Captcha	
 Submit	

   


INSURANCE COMPANY - Universal Sompo GIC

Proposal	MobileNo.	AadhaarNo.	ProposerName.	Status.	Bank.	Branch	 
2028855	XXXXXX789	XXXXXX	VENU GOPAL KELKERI	ವಿಮಾ ಕಂಪನಿಯಿಂದ ಅರ್ಜಿ ಸ್ವೀಕೃತಿಯಾಗಿದೆ/Application Acknowledge by Insurance Co.	CSC Centers	CSC Centers	Select



Shortfall Not Generated For This Proposal/IU
Ver. : 10.7.0              Rel. Date : 01/12/2022              Hit Count : 106350725Designed By : National Informatics Cen",2023-02-03T15:13:24.717,2023,2
HIMACHAL PRADESH,BILASPUR,GHUMARWIN,NA,AGRICULTURE,Others,Others,Government Schemes,"How to Know your registration number of  PM kisan Samman NIdhi ?
",प्रधानमंत्री किसान सम्मान निधि योजना का रजिस्ट्रेशन नंबर जानने के लिए दी गए लिंक को खोलें तथा अपना योजना से जुड़ा हुआ नंबर दर्ज करें :- https://pmkisan.gov.in/KnowYour_Registration.aspx,2023-02-03T15:13:28.54,2023,2
MAHARASHTRA,AURANGABAD,PAITHAN,NA,HORTICULTURE,Fruits,Pomegranate,Fertilizer Use and Availability,FARMER ASKED ABOUT FERTILIZER DOSE FOR POMEGRANATE?,डाळिंब पिकासाठी खत मात्रा - १२:६१:०० - ६० ग्राम + मिक्रोला - ३० मिली / १५ लिटर पाण्यात घेऊन फवारणी करा.,2023-02-03T15:13:51.237,2023,2
GUJARAT,JUNAGADH,MALIA,NA,AGRICULTURE,Cereals,Wheat,Market Information,Ask about MSP price of Wheat crop 	,ઘઉં નો ટેકા નો ભાવ 2125રૂ/ક્વિન્ટલ છે 	425 રૂ./મણ,2023-02-03T15:13:52.657,2023,2
GUJARAT,KACHCHH,RAPAR,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked query on Mandi details,--,2023-02-03T15:14:32.84,2023,2
GUJARAT,BHAVNAGAR,MAHUVA,NA,HORTICULTURE,Fruits,Citrus,Cultural Practices, Ask about Fertilizer dose of Lemon plant  	,લીંબુ ના પાક માં ખાતર તરીકે ૧૦ કિલો છાણીયું ખાતર ૧૦૦ ગ્રામ/છોડ ફોસ્ફરસ 100 ગ્રામ/છોડ પોટાશ અને ૨૦૦ ગ્રામ/છોડ નાઈટ્રોજન આપવાની ભલામણ છે અથવા ૧૨-૩૨-૧૬ લીબું માં ૫૦૦-૧૦૦૦ ગ્રામ / છોડ આપી શકો,2023-02-03T15:15:30.817,2023,2
RAJASTHAN,NAGAUR,NAGAUR,NA,HORTICULTURE,Vegetables,Onion,Nutrient Management,ASKED ABOUT TO NUTRIENT MANAGEMENT IN ONION?," पोटेशियम सल्फेट (NPK) 0:0:50 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल बना कर छिड़काव करें।  
",2023-02-03T15:15:39.073,2023,2
GUJARAT,AMRELI,SAVERKUNDLA,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Sowing Time and Weather,Farmer asked Sowing Time information of Sesame crop,"તલના પાકમાં વાવેતરનો સમય- ખરીફ સીજન-(૨૨  જૂન-૦૮ જુલાઈ), રવિ સીજન- (૧૫ ઓગસ્ત -૧૫ સપ્ટેમ્બર).
 ઉનાળો માં (15 ફેબ્રુઆરી પછી)  ઉનાળુ તલનું વાવેતર ફેબ્રુઓરી માસના પ્રથમ પખવાડીયામાં કરવું જ્યારે લઘુતમ તાપમાન ર૦ °સે. ઉપર અને મહત્તમ તાપમાન ૩૦ °સે. હાેય છે. તે સમયેઠંડીનું પ્રમાણ પણ ઓેછું હાેય છે ",2023-02-03T15:16:22.913,2023,2
MADHYA PRADESH,WEST NIMAR,BARWAH,NA,AGRICULTURE,Others,Others,Government Schemes,"Farmer wants to know information about procurement of rabi SEASON wheat, mustard, gram and lentil crop at MSP 2023-24 ?
","किसान भाई रबी सीजन गेहूं, सरसों, चना और मसूर की फसल की न्यूनतम समर्थन मूल्य पर खरीदी के कल लिए पंजीयन 06/02/2023 से 25/02/2023 तक होंगे, पंजीयन हेतु ई उपार्जन पोर्टल या ई-उपार्जन किसान मोबाइल एप या CSC सेंटर से संपर्क कर सकते है 
",2023-02-03T15:17:11.033,2023,2
MADHYA PRADESH,SHIVPURI,NARWAR,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"भारतीय मौसम विज्ञान विभाग से प्राप्त जानकारी के अनुसार आपके नरवर ब्लॉक में अगले 3 से 4 दिनों में बारिश की सम्भावना नहीं है तथा मौसम साफ रहेगा | आज का अधिकतम तापमान 27 डिग्री सेंटीग्रेड और न्यूनतम तापमान 09 डिग्री सेंटीग्रेड रहने की सम्भावना है | हवा 10 किलोमीटर प्रति घंटे की गति से चल सकती है |
",2023-02-03T15:17:28.543,2023,2
UTTAR PRADESH,MIRZAPUR,HALLIA,NA,AGRICULTURE,Cereals,Triticale,Weather,Farmer asked query on Weather,"श्रीमान जी, 4 फरवरी से 10 फरवरी के बीच वर्षा होने की कोई संभावना नहीं है मौसम बिल्कुल साफ रहेगा.आज का न्यूनतम तापमान 18°C और अधिकतम तापमान 27°C एवं हवा की गति 4 से  11 किलोमीटर/ घंटा रहने की संभावना है| मौसम के अनुसार कृषि कार्य को करें| 
",2023-02-04T10:49:56.18,2023,2
CHHATTISGARH,RAIGARH,KHARSIA,NA,AGRICULTURE,Cereals,Wheat,	Plant Protection	,"Farmer wants to know information about control measure Yellow Rust disease of Wheat crop?
","प्रिय किसान भाई,गेहू में लगे यलो रस्ट रोग के नियंत्रण के लिए आप प्रोपिकोनाज़ोल २५% इसी की १५०-२०० मिली तथा स्ट्रेप्टोसाइक्लीन १५ ग्राम मात्रा प्रति एकर की दर से १५०-२०० लीटर पानी में घोलकर छिड़काव कर सकते हैं I

",2023-02-04T10:50:58.873,2023,2
RAJASTHAN,JHALAWAR,JHALRAPATAN,NA,HORTICULTURE,Vegetables,Brinjal,	Plant Protection	,ASKED ABOUT TO TERMITE CONTROL IN BRINJAL ?.,दीमक की रोकथाम के लिये क्लोरोपायरिफॉस 20%  ई.सी. 40  एम एल प्रति पौधा की दर से सिंचाई के साथ देवें।,2023-02-04T10:51:31.853,2023,2
GUJARAT,RAJKOT,UPLETA,NA,HORTICULTURE,Condiments and Spices,Coriander,	Plant Protection	,ask about fungus problem in coriander,કિસાન કોલ સેન્ટર માં કોલ કરવા બદલ ધન્યવાદ,2023-02-04T10:51:42.6,2023,2
JHARKAND,PALAMU,HUSSAINABAD,NA,AGRICULTURE,Others,Others,Government Schemes,"Information about Prime Minister Kisan Samman Nidhi Scheme beneficiary status ?  
","महोदय जी प्रधानमंत्री किसान सम्मान निधि योजना से संबंधित अधिक जानकारी के लिए 011-24300606,155261 नंबर से संपर्क करें
",2023-02-04T10:52:21.85,2023,2
UTTAR PRADESH,RAEBARELI,UNCHAHAR,NA,AGRICULTURE,Others,Others,Government Schemes,"Information about PM KUSUM Solar Photovoltaic pump scheme?

","श्रीमान जी सोलर पंप पर प्रधानमंत्री किसान ऊर्जा सुरक्षा एवं उत्थान महाअभियान (PM KUSUM) के अंतर्गत 3 HP, DC समर्सिबल पंप के लिए ₹77806 का तथा AC समर्सिबल पंप के लिए ₹77384 का डिमांड ड्राफ्ट लगेगा अधिक जानकारी के लिए कृपया अपने विकासखंड पर राजकीय बीज गोदाम प्रभारी से संपर्क करें
श्रीमान जी कानपुर मंडल में सोलर पंप हेतु सब्सिडी के लिए 02 जुलाई 2022 को 11:00 बजे से ऑनलाइन बुकिंग शुरू हुई थी
अधिक जानकारी के लिए कृपया 7839882078 पर संपर्क करें",2023-02-04T10:52:28.497,2023,2
GUJARAT,PORBANDAR,PORBANDAR,NA,HORTICULTURE,Vegetables,Chillies,	Plant Protection	,Ask about chilies information ,મરચી ના પાક માં વાવેતર 12 મહિના કરી શકાય ,2023-02-04T10:52:31.273,2023,2
WEST BENGAL,NORTH 24 PARGANAS,HINGALGANJ,NA,AGRICULTURE,0,0,Market Information,Farmer asked query on Mandi details,,2023-02-04T10:52:58.51,2023,2
UTTAR PRADESH,MAHARAHGANJ,NICHLAUL,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,श्रीमान जी आज 4 फरवरी से 10 फरवरी के बीच प्रतिदिन मौसम साफ होने की संभावना है कभी-कभी हल्के घने बादल छाए हो सकते हैं आज का तापमान अधिकतम 22 डिग्री सेल्सियस न्यूनतम 14 डिग्री सेल्सियस हवा की गति 7 से 11 किलोमीटर प्रति घंटा होने की संभावना है आप मौसम के अनुसार कृषि कार्य करें |,2023-02-04T10:53:08.18,2023,2
UTTAR PRADESH,KANNAUJ,UMARDA,NA,AGRICULTURE,Cereals,Wheat,Weather,Farmer asked query on Weather,"श्रीमान जी 4 फरवरी से 10 फरवरी तक आपके क्षेत्र में मौसम साफ रहने की संभावना है किसी भी प्रकार की बूंदाबांदी या बारिश होने की कोई संभावना नहीं है  आज का न्यूनतम तापमान 16°C और अधिकतम तापमान 25°C है और हवा की गति 11 से 18 किलोमीटर प्रति घंटा रहने की संभावना है मौसम के अनुसार कृषि कार्य करें |
",2023-02-04T10:53:23.78,2023,2
JAMMU AND KASHMIR,ANANTNAG,SHANGUS,NA,AGRICULTURE,Others,Others,Government Schemes,Farmer asked a query regarding pm kisan beneficiary status?,Due to technical error pm kisan site not working,2023-02-04T10:53:54.25,2023,2
MADHYA PRADESH,SEHORE,SEHORE,NA,ANIMAL HUSBANDRY,Animal,Goat,Disease Management,"Farmer needs information regarding  animal disease ? ?
",बकरियों या पशु से संबंधित बीमारी के लिए संपर्क करें पशु संजीवनी सेवा 1962,2023-02-04T10:54:00.223,2023,2
GUJARAT,Gir Somnath,TALALA,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,Varieties,Farmer asked Varieties information of Sesame crop,"તલની જાતો- ગુજરાત તલ-૩,૪,૫,૬,૧૦ (કાળા તલ),પૂર્વા-૧ (અર્ધશિયાળુ)

",2023-02-04T10:54:03.967,2023,2
JHARKAND,GARHWA,BHAWNATHPUR,NA,AGRICULTURE,Others,Others,Government Schemes,Query of government scheme        ,कृषक बंधु अधिक जानकारी के लिए आप ब्लॉक कृषि पदाधिकारी या जिला कृषि पदाधिकारी से संपर्क करें | ,2023-02-04T10:54:16.883,2023,2
UTTAR PRADESH,AGRA,BAH,NA,AGRICULTURE,Others,Others,Government Schemes,"Information about beneficiary status of PM Kisan Samman Nidhi Yojna ...?
","महोदय, कुछ तकनीकी कारणों से प्रधानमंत्री किसान सम्मान निधि योजना की वेबसाइट चल नहीं रही है कृपया कुछ समय बाद कॉल करें, या आप प्रधानमंत्री किसान सम्मान निधि योजना के टोल फ्री नंबर 01123381092, 155261, 1800115526, 01124300606 पर संपर्क कर सकते हैं |
",2023-02-04T10:54:28.397,2023,2
UTTAR PRADESH,HAMIRPUR,KURARA,NA,AGRICULTURE,Others,Others,Government Schemes,Information about  PM Kisan Samman Nidhi Yojna Beneficiary status .?,"महोदय, प्रधानमंत्री किसान सम्मान निधि योजना की अधिक जानकारी के लिए जिले के उप कृषि निदेशक कार्यालय या राजकीय कृषि बीज भंडार प्रभारी जी से संपर्क करें या कॉल करे – 1800-180-1488, 1800 1155266",2023-02-04T10:55:30.797,2023,2
HARYANA,KURKSHETRA,BABAIN,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"Information regarding treatment of potassium deficiency in wheat ?
 ","--गेहू में पोटाश की कमी को  पूरा करने  के लिए आप N:P:K (13:00:45 ) @ 2 किलोग्राम को 200 लीटर पानी में मिलाकर प्रति एकड़ छिड़काव करें 
",2023-02-04T10:55:50.89,2023,2
JHARKAND,DHANBAD,TOPCHANCHI,NA,AGRICULTURE,Others,Others,Government Schemes,QUERY ON GOVERNMENT SCHEME? ," 
प्रिया कृषक बंधु तकनीकी समस्या के कारण हमारे पीएम किसान का वेबसाइट काम नहीं कर रहा है जिसके कारण वश में आपको जानकारी नहीं दे पाऊंगी कृपया आप हमें कृपया आप हमें थोड़ी देर के बाद दोबारा कॉल कर सकते हैं  ",2023-02-04T10:56:02.48,2023,2
UTTAR PRADESH,DEORIA,DEORIA SADAR,NA,AGRICULTURE,Others,Others,Government Schemes,Information about grant of wheat Seeds?,श्रीमान जी गेहूं के बीज के अनुदान के बारे में जानकारी के लिए अपने जिले के कृषि भवन में कृषि उपनिदेशक जी से संपर्क करें |,2023-02-04T10:56:02.79,2023,2
UTTAR PRADESH,GORAKHPUR,KHAJNI,NA,AGRICULTURE,Others,Others,Government Schemes,Information about PM Kisan Samman Nidhi scheme..?,"श्रीमान जी प्रधानमंत्री किसान सम्मान निधि योजना की जानकारी के लिए टोल फ्री नंबर-155261, 011-24300606  तथा 1800 180 1488 तथा विकासखण्ड के राजकीय कृषि बीज भण्डार प्रभारी अथवा जनपद के उप कृषि निदेशक से सम्पर्क करें| 
",2023-02-04T10:56:14.693,2023,2
RAJASTHAN,SIKAR,DANTA RAMGARH,NA,AGRICULTURE,Others,Others,Market Information,Farmer asked information about cooperative society ?,"को-ऑपरेटिव  सोसाइटी  राजस्थान  -  0141-274 0737, 0141-2740045, 0141-2744816
",2023-02-04T10:56:43.96,2023,2
JHARKAND,GARHWA,RANKA,NA,AGRICULTURE,Others,Others,Government Schemes,Query of government scheme        ,कृषक बंधु आप बिजली से संबंधित जानकारी के लिए ब्लॉक के बिजली विभाग से संपर्क करें या फिर जिला के बिजली  विभाग से संपर्क करें|,2023-02-04T10:56:47.05,2023,2
UTTARAKHAND,DEHRADUN,VIKASNAGAR,NA,AGRICULTURE,Fodder Crops,Barseem,Cultural Practices,Need information related to berseem crop?,"बरसीम की फसल में वृद्धि के लिए एनपीके- 19:19:19 @ 1 किग्रा, सल्फर 80% @ 300-400 ग्राम और सागरीका @ 250 एमएल/ एकड़ की दर से प्रयोग करे | कीट नियंत्रण के लिए थियामेथोक्साम 25% डब्ल्यूजी @ 40-60 ग्राम/ एकड़ की दर से प्रयोग करे |",2023-02-04T10:56:47.843,2023,2
